Id,Indikator,"Tendensi hambatan dalam hubungan sosial, neourotis","Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala",Tendensi aspirasi lebih besar dari pada kemampuan,Normal
1_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
2_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",0,0,0,0
3_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
4_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
5_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
6_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
7_3,[넱ormal넿,0,0,0,1
8_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
9_3,[넱ormal넿,0,0,0,1
10_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
11_3,[넱ormal넿,0,0,0,1
12_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
13_3,[넱ormal넿,0,0,0,1
14_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
15_3,[넱ormal넿,0,0,0,1
16_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
17_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
18_3,[넱ormal넿,0,0,0,1
19_3,[넱ormal넿,0,0,0,1
20_3,[넱ormal넿,0,0,0,1
21_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
22_3,[넱ormal넿,0,0,0,1
23_3,[넱ormal넿,0,0,0,1
24_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
25_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
26_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
27_3,[넱ormal넿,0,0,0,1
28_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
29_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
30_3,[넱ormal넿,0,0,0,1
31_3,[넱ormal넿,0,0,0,1
32_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
33_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
34_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
35_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
36_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
37_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
38_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
39_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
40_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
41_3,[넱ormal넿,0,0,0,1
42_3,[넱ormal넿,0,0,0,1
43_3,[넱ormal넿,0,0,0,1
44_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
45_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
46_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
47_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
48_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
49_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
50_3,[넱ormal넿,0,0,0,1
51_3,[넱ormal넿,0,0,0,1
52_3,[넱ormal넿,0,0,0,1
53_3,[넱ormal넿,0,0,0,1
54_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
55_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
56_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
57_3,[넱ormal넿,0,0,0,1
58_3,[넱ormal넿,0,0,0,1
59_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
60_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
61_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
62_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
63_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
64_3,[넱ormal넿,0,0,0,1
65_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
66_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
67_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
68_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
69_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
70_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
71_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
72_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
73_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
74_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
75_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
76_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
77_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
78_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
79_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
80_3,[넱ormal넿,0,0,0,1
81_3,[넱ormal넿,0,0,0,1
82_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
83_3,[넱ormal넿,0,0,0,1
84_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
85_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
86_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
87_3,[넱ormal넿,0,0,0,1
88_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
89_3,[넱ormal넿,0,0,0,1
90_3,[넱ormal넿,0,0,0,1
91_3,[넱ormal넿,0,0,0,1
92_3,[넱ormal넿,0,0,0,1
93_3,[넱ormal넿,0,0,0,1
94_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
95_3,[넱ormal넿,0,0,0,1
96_3,[넱ormal넿,0,0,0,1
97_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
98_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
99_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
100_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
101_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
102_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
103_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
104_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
105_3,[넱ormal넿,0,0,0,1
106_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
107_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
108_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
109_3,[넱ormal넿,0,0,0,1
110_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
111_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
112_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",0,0,0,0
113_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
114_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
115_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
116_3,[넱ormal넿,0,0,0,1
117_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
118_3,[넱ormal넿,0,0,0,1
119_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
120_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
121_3,"[넶endensi hambatan dalam hubungan sosial, neourotis넿",1,0,0,0
122_3,[넶endensi aspirasi lebih besar dari pada kemampuan넿,0,0,1,0
123_3,"[네da kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala넿",0,1,0,0
124_3,[넱ormal넿,0,0,0,1
